Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
Z Inion,-797.9067871,-519.3809082,-1244.718945,-642.3628906,-1253.036719,-998.5819336,-962.2980469,-1238.335059,-867.2291992,-734.1586426,-494.7151855,-483.9373535
X Infraorbital foramen R,-14.82617188,65.67531128,-22.61368408,-18.1720047,-16.11432953,-18.87641602,-18.79223785,-19.31164398,42.56225281,-71.1632019,-67.38011475,-88.24780273
Y Infraorbital foramen R,487.4120605,-67.38847656,-17.0263443,-63.14263306,-18.60548553,-22.22132416,-9.053835297,-15.3651413,205.2783936,-102.8249878,-107.8443604,204.5539307
Z Infraorbital foramen R,-833.987793,-551.363916,-1276.611426,-673.2209473,-1280.644141,-1025.276367,-983.8936523,-1266.328125,-895.7367188,-753.903125,-516.5016113,-515.9280762
X Infraorbital foramen L,22.63173676,96.34810181,16.72578888,19.47854156,20.05684662,16.49510651,15.04477844,19.1620697,71.81658325,-38.86179199,-37.61765747,-53.64838867
Y Infraorbital foramen L,488.9814941,-67.81271973,-16.95167847,-61.75394897,-15.38910828,-22.80155945,-9.783350372,-15.21255493,205.0874268,-102.9763306,-101.9511353,206.9804932
Z Infraorbital foramen L,-834.4061523,-541.9441895,-1278.534375,-673.9844238,-1284.175586,-1027.531641,-986.8623047,-1266.19043,-890.9035156,-763.1538574,-524.6958008,-526.470166
X Incisive foramen R,1.095309544,81.48369141,-7.785242462,-1.891379738,-4.229424286,-6.513354492,-6.060802078,-7.426863861,55.33519287,-62.07905884,-56.12026978,-76.71447754
Y Incisive foramen R,463.9651855,-94.6546814,-45.31842651,-87.28899536,-47.17029114,-56.27931519,-39.47440186,-48.9802887,178.7125854,-134.4858032,-134.6046997,175.3996094
Z Incisive foramen R,-844.3138672,-558.1188477,-1287.954492,-681.9687988,-1296.140234,-1037.073926,-1000.01543,-1281.674707,-905.0654297,-771.8080078,-533.024707,-530.4779785
X Incisive foramen L,7.412232971,86.87700806,-0.917263889,4.176459885,5.929199982,5.320995331,2.410698128,2.175439072,64.48197632,-53.90769043,-47.51924133,-69.36345825
Y Incisive foramen L,464.0755859,-94.08651733,-45.13503418,-87.40570068,-47.34841003,-56.44723511,-39.68230591,-48.77230225,178.3778687,-133.6447144,-133.5482056,175.7274292
Z Incisive foramen L,-844.9205078,-556.3125488,-1288.420605,-682.3005859,-1295.823535,-1036.885547,-1000.107422,-1281.394238,-902.9108398,-774.2085938,-534.6682129,-533.2393555
X Fronto-nasal suture,3.176404953,68.81885376,-2.17104435,0.981915283,3.721640015,0.504938126,-0.655687237,1.136125183,52.05930786,-48.8802948,-47.2888855,-62.32634888
