Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
Y Inion-mastoid CUR R 3,616.5963867,53.85428467,115.3640991,68.47546387,118.7525024,111.6263794,112.2987915,114.2474365,323.176123,17.91720123,13.94443359,329.2047852
Z Inion-mastoid CUR R 3,-799.1799316,-525.8993652,-1247.153125,-645.2918945,-1252.089355,-999.0489258,-961.7837891,-1239.124609,-868.3444336,-732.3390137,-492.5558594,-481.4842285
X Inion-mastoid CUR R 2,-14.55983124,62.5760376,-7.229858398,-7.815748596,-13.28139038,-13.85095062,-11.20060806,-9.83710022,46.05591125,-62.95465698,-72.37521973,-74.40344849
Y Inion-mastoid CUR R 2,614.5890137,51.5149353,112.5698242,65.54192505,118.4894653,111.3244873,111.6183105,113.1775146,322.2803467,16.59797058,13.9101532,327.7244873
Z Inion-mastoid CUR R 2,-797.5720703,-522.8554688,-1245.751758,-643.4006836,-1251.066895,-997.6917969,-961.0618164,-1237.220898,-867.1859375,-732.352002,-492.5946777,-481.5127441
X Inion-mastoid CUR R 15,-48.66816101,44.57017212,-48.99476929,-44.59791565,-53.91902466,-49.83183289,-44.1565094,-49.63925476,22.28069,-107.6875977,-109.4885132,-123.1897949
Y Inion-mastoid CUR R 15,596.111377,36.30324402,98.08406982,41.59649353,92.04403076,87.25092163,89.95929565,86.80991211,302.0931396,-4.220907593,-15.2374939,300.5043945
Z Inion-mastoid CUR R 15,-850.1790039,-578.2293945,-1301.07207,-697.3882324,-1307.715332,-1052.682129,-1012.612793,-1296.677344,-922.8374023,-776.3539551,-528.0333008,-521.2374512
X Inion-mastoid CUR R 14,-48.83044434,42.85932617,-48.71624451,-45.31601868,-54.5027832,-51.15853882,-46.7893158,-50.97289734,20.54795074,-106.3033203,-110.9091675,-124.4089233
Y Inion-mastoid CUR R 14,599.1395508,37.20317078,99.28865356,46.22754822,93.36341553,88.03601685,92.58199463,90.59359741,304.3982178,-2.17422905,-12.17938995,304.628833
Z Inion-mastoid CUR R 14,-845.8788086,-573.1998047,-1294.996094,-692.8521973,-1301.470898,-1047.452832,-1007.679785,-1291.224609,-918.159375,-770.7517578,-525.0297363,-516.4826172
X Inion-mastoid CUR R 13,-46.95481567,43.88918457,-45.92987976,-44.95203552,-53.84758911,-50.39163513,-46.66810608,-50.93317261,20.43959198,-103.7400391,-109.9448608,-123.0669189
Y Inion-mastoid CUR R 13,601.4989746,38.4318573,101.2280823,50.93455505,96.16534424,90.05552368,95.39798584,93.79013062,306.9806885,0.349205351,-8.53927536,308.5406006
Z Inion-mastoid CUR R 13,-841.7540039,-568.4245605,-1289.917969,-689.3362305,-1296.209375,-1042.597656,-1002.842383,-1285.995605,-913.5592773,-766.0074219,-522.6417969,-512.3470703
