Name,Koala_NR2143,Koala_NR2145,Koala_NR1355,Koala_NR1499,Koala_NR0862,Koala_NR1098,Koala_NR2104,Koala_NR2105,Koala_NR2106,Koala_NR2127,Koala_NR2128,Koala_NR2112,Koala_NR2097,Koala_NR2102,Koala_NR2103,Koala_NR2137,Koala_NR2138,Koala_NR2139,Koala_Bimbo,Koala_Cascade,Koala_Cindy,Koala_Crockett,Koala_Eddie
Z Dorsal patch 157,-631.4952637,-648.6094727,-632.3986816,-649.162793,-634.9540527,-646.2603027,-568.777002,-583.5617188,-575.869873,-586.643457,-567.0658203,-837.8204102,-834.1720703,-831.3233398,-835.0283203,-828.0125,-841.3797852,-826.0584961,-1227.105859,-1227.797949,-1263.267285,-1221.387695,-1215.586035
X Dorsal patch 156,55.95522461,-35.92013245,58.17442627,-31.98737793,59.32106934,-26.04653931,73.14797363,-12.51166534,74.17666016,-3.384408951,76.65131226,-36.74862671,-30.66527405,44.86895752,-30.70951843,50.30439453,-30.22964172,59.2300293,11.45864182,-3.867419434,2.246649551,14.89001923,11.78899994
Y Dorsal patch 156,36.25458374,26.21602783,274.7875,232.1413818,507.1628418,488.60625,33.87253113,17.37218475,256.8502197,251.6425049,496.5603027,48.61511536,281.5516357,249.6677246,525.554834,488.2060059,727.6106445,734.8380859,67.27662354,59.5961792,147.7532104,62.50767822,61.47559814
Z Dorsal patch 156,-619.0506836,-633.0625488,-621.4473633,-632.0593262,-618.6604492,-627.8938477,-556.329541,-567.0454102,-563.6643066,-567.5678223,-555.4481934,-820.5233398,-818.1392578,-817.1927246,-816.5745605,-813.1760254,-826.0125977,-811.2741211,-1212.094141,-1214.065137,-1249.279785,-1205.061914,-1198.551953
X Dorsal patch 155,62.82871704,-32.14474487,65.26434937,-28.19764709,66.43696289,-20.50697784,80.72198486,-6.699215698,80.47221069,1.548278427,83.41102905,-32.33483276,-25.34130249,50.31149292,-25.02318573,57.57316284,-26.47978821,66.32597656,17.84104614,1.581732273,8.608135223,21.39086761,18.16660004
Y Dorsal patch 155,40.11713867,29.91296997,279.5549805,235.3101563,510.9935059,492.2591309,38.82952881,21.61760864,260.4589355,256.1808105,500.771875,52.28807983,285.6953369,254.3055664,530.4374512,491.7685059,730.387793,739.2091797,72.10189209,64.7229187,151.4852051,66.97792358,65.94780273
Z Dorsal patch 155,-623.8150879,-639.125293,-625.6958984,-638.3933105,-625.2716797,-634.6510742,-560.3626953,-572.6704102,-568.4025391,-575.2791016,-560.7447754,-828.7008789,-825.3886719,-822.5978516,-822.9655273,-818.6257324,-832.9238281,-816.4476563,-1217.778027,-1220.426172,-1256.440137,-1212.463867,-1205.857715
X Dorsal patch 154,70.8842041,-26.63096924,74.33824463,-22.12960052,76.19157104,-11.61070099,90.9000061,0.518407059,88.31317139,7.712854004,91.91522217,-25.64723206,-17.77232666,57.33592529,-17.66728821,65.39879761,-20.544487,76.00794678,25.97142944,7.980767059,16.5559082,29.42235107,26.75360107
Y Dorsal patch 154,41.21226807,30.84512634,280.9199219,236.2057861,512.1519043,492.7055664,40.88468933,22.9665802,261.3883301,257.0666504,501.954541,52.91636963,287.4973633,256.3836914,532.4178711,491.4525391,730.9959961,740.6481934,74.15316162,67.46896973,152.2260376,68.50445557,68.41810303
Z Dorsal patch 154,-627.3654297,-644.109668,-628.7352539,-643.9331543,-629.5821777,-640.5426758,-562.4595703,-576.5045898,-571.0936523,-580.7681641,-562.3211914,-835.6015625,-831.3854492,-826.2397461,-828.7016602,-822.0553711,-839.1641602,-820.0477539,-1221.261816,-1224.796094,-1260.569727,-1217.50293,-1211.929395
